Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_avg_transaction_size_90_days,Avg Transaction Size in last 90 Days,Double,Average of all transactions done by customer in last 90 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_1_days,Total Transaction Count in last 1 Day,Long,Count of all transactions done by customer in last 1 day,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_3_days,Total Transaction Count in last 3 Days,Long,Count of all transactions done by customer in last 3 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_7_days,Total Transaction Count in last 7 Days,Long,Count of all transactions done by customer in last 7 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_30_days,Total Transaction Count in last 30 Days,Long,Count of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_90_days,Total Transaction Count in last 90 Days,Long,Count of all transactions done by customer in last 90 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_count_180_days,Total Transaction Count in last 180 Days,Long,Count of all transactions done by customer in last 180 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_1_days,Total Transaction Size in last 1 Day,Double,Amount of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_3_days,Total Transaction Size in last 3 Days,Double,Amount of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_7_days,Total Transaction Size in last 7 Days,Double,Amount of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_30_days,Total Transaction Size in last 30 Days,Double,Amount of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_90_days,Total Transaction Size in last 90 Days,Double,Amount of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Delhi Metro,RU_MT_total_transaction_size_180_days,Total Transaction Size in last 180 Days,Double,Amount of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_1_days,Avg Transaction Size in last 1 Day,Double,Average of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_180_days,Avg Transaction Size in last 180 Days,Double,Average of all transactions done by customer in last 180 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_3_days,Avg Transaction Size in last 3 Days,Double,Average of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_30_days,Avg Transaction Size in last 30 Days,Double,Average of all transactions done by customer in last 30 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_7_days,Avg Transaction Size in last 7 Days,Double,Average of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_avg_transaction_size_90_days,Avg Transaction Size in last 90 Days,Double,Average of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_1_days,Total Transaction Count in last 1 Day,Long,Count of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_3_days,Total Transaction Count in last 3 Days,Long,Count of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_7_days,Total Transaction Count in last 7 Days,Long,Count of all transactions done by customer in last 7 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_30_days,Total Transaction Count in last 30 Days,Long,Count of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_90_days,Total Transaction Count in last 90 Days,Long,Count of all transactions done by customer in last 90 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_count_180_days,Total Transaction Count in last 180 Days,Long,Count of all transactions done by customer in last 180 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_1_days,Total Transaction Size in last 1 Day,Double,Amount of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_3_days,Total Transaction Size in last 3 Days,Double,Amount of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_7_days,Total Transaction Size in last 7 Days,Double,Amount of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_30_days,Total Transaction Size in last 30 Days,Double,Amount of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_90_days,Total Transaction Size in last 90 Days,Double,Amount of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Google Play,RU_GP_total_transaction_size_180_days,Total Transaction Size in last 180 Days,Double,Amount of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_1_days,Avg Transaction Size in last 1 Day,Double,Average of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_180_days,Avg Transaction Size in last 180 Days,Double,Average of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_3_days,Avg Transaction Size in last 3 Days,Double,Average of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_30_days,Avg Transaction Size in last 30 Days,Double,Average of all transactions done by customer in last 30 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_7_days,Avg Transaction Size in last 7 Days,Double,Average of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_avg_transaction_size_90_days,Avg Transaction Size in last 90 Days,Double,Average of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_1_days,Total Transaction Count in last 1 Day,Long,Count of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_3_days,Total Transaction Count in last 3 Days,Long,Count of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_7_days,Total Transaction Count in last 7 Days,Long,Count of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_30_days,Total Transaction Count in last 30 Days,Long,Count of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_90_days,Total Transaction Count in last 90 Days,Long,Count of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_count_180_days,Total Transaction Count in last 180 Days,Long,Count of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_1_days,Total Transaction Size in last 1 Day,Double,Amount of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_3_days,Total Transaction Size in last 3 Days,Double,Amount of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_7_days,Total Transaction Size in last 7 Days,Double,Amount of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_30_days,Total Transaction Size in last 30 Days,Double,Amount of all transactions done by customer in last 30 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_90_days,Total Transaction Size in last 90 Days,Double,Amount of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Challan,RU_CHL_total_transaction_size_180_days,Total Transaction Size in last 180 Days,Double,Amount of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_1_days,Avg Transaction Size in last 1 Day,Double,Average of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_180_days,Avg Transaction Size in last 180 Days,Double,Average of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_3_days,Avg Transaction Size in last 3 Days,Double,Average of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_30_days,Avg Transaction Size in last 30 Days,Double,Average of all transactions done by customer in last 30 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_7_days,Avg Transaction Size in last 7 Days,Double,Average of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_avg_transaction_size_90_days,Avg Transaction Size in last 90 Days,Double,Average of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_1_days,Total Transaction Count in last 1 Day,Long,Count of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_3_days,Total Transaction Count in last 3 Days,Long,Count of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_7_days,Total Transaction Count in last 7 Days,Long,Count of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_30_days,Total Transaction Count in last 30 Days,Long,Count of all transactions done by customer in last 30 days,1,L3RU,1
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_90_days,Total Transaction Count in last 90 Days,Long,Count of all transactions done by customer in last 90 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_count_180_days,Total Transaction Count in last 180 Days,Long,Count of all transactions done by customer in last 180 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_size_1_days,Total Transaction Size in last 1 Day,Double,Amount of all transactions done by customer in last 1 day,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_size_3_days,Total Transaction Size in last 3 Days,Double,Amount of all transactions done by customer in last 3 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_size_7_days,Total Transaction Size in last 7 Days,Double,Amount of all transactions done by customer in last 7 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_size_30_days,Total Transaction Size in last 30 Days,Double,Amount of all transactions done by customer in last 30 days,0,L3RU,0
Transactional,Recharge and Utilities,Municipality,RU_MNC_total_transaction_size_90_days,Total Transaction Size in last 90 Days,Double,Amount of all transactions done by customer in last 90 days,0,L3RU,0
